year,geography,metric,unit,vector,value,decimals
1998,"Saint John, New Brunswick",Non-violent crime severity index,Index,v44312507,107.84,2
1998,"Saint John, New Brunswick",Youth crime severity index,Index,v53079906,,2
1998,"Saint John, New Brunswick",Youth violent crime severity index,Index,v53079907,,2
1998,"Saint John, New Brunswick",Youth non-violent crime severity index,Index,v53079899,,2
1998,"Saint John, New Brunswick",Weighted clearance rate,Number,v53079900,41.93,2
1998,"Saint John, New Brunswick",Violent weighted clearance rate,Number,v53079902,58.43,2
1998,"Saint John, New Brunswick",Non-violent weighted clearance rate,Number,v53079904,36.98,2
1998,"Saint John, New Brunswick",Percent change in non-violent weighted clearance rate,Percent,v53079905,,2
1998,Quebec,Crime severity index,Index,v44312509,112.68,2
1998,Quebec,Violent crime severity index,Index,v44312511,90.47,2
1998,Quebec,Non-violent crime severity index,Index,v44312513,121.22,2
1998,Quebec,Youth crime severity index,Index,v53079917,89.55,2
1998,Quebec,Youth violent crime severity index,Index,v53079919,73.95,2
1998,Quebec,Youth non-violent crime severity index,Index,v53079909,101.43,2
1998,Quebec,Weighted clearance rate,Number,v53079911,29.48,2
1998,Quebec,Violent weighted clearance rate,Number,v53079913,53.47,2
1998,Quebec,Non-violent weighted clearance rate,Number,v53079915,22.6,2
1998,Quebec,Percent change in non-violent weighted clearance rate,Percent,v53079916,,2
1998,"Saguenay, Quebec",Crime severity index,Index,v44312515,114.09,2
1998,"Saguenay, Quebec",Violent crime severity index,Index,v44312517,50.4,2
1998,"Saguenay, Quebec",Non-violent crime severity index,Index,v44312519,138.57,2
1998,"Saguenay, Quebec",Youth crime severity index,Index,v53079465,,2
1998,"Saguenay, Quebec",Youth violent crime severity index,Index,v53079466,,2
1998,"Saguenay, Quebec",Youth non-violent crime severity index,Index,v53079458,,2
1998,"Saguenay, Quebec",Weighted clearance rate,Number,v53079459,26.52,2
1998,"Saguenay, Quebec",Violent weighted clearance rate,Number,v53079461,65.06,2
1998,"Saguenay, Quebec",Non-violent weighted clearance rate,Number,v53079463,21.13,2
1998,"Saguenay, Quebec",Percent change in non-violent weighted clearance rate,Percent,v53079464,,2
1998,"Québec, Quebec",Crime severity index,Index,v44312521,91.05,2
1998,"Québec, Quebec",Violent crime severity index,Index,v44312523,64.89,2
1998,"Québec, Quebec",Non-violent crime severity index,Index,v44312525,101.11,2
1998,"Québec, Quebec",Youth crime severity index,Index,v53079474,,2
1998,"Québec, Quebec",Youth violent crime severity index,Index,v53079475,,2
1998,"Québec, Quebec",Youth non-violent crime severity index,Index,v53079467,,2
