year,geography,metric,unit,vector,value,decimals
2008,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Percent change in non-violent crime severity index,Percent,v44312562,-12.29,2
2008,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Youth crime severity index,Index,v53079531,0.0,2
2008,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Percent change in youth crime severity index,Percent,v87984882,0.0,2
2008,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Youth violent crime severity index,Index,v53079532,0.0,2
2008,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Percent change in youth violent crime severity index,Percent,v87984883,0.0,2
2008,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Youth non-violent crime severity index,Index,v53079524,0.0,2
2008,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Percent change in youth non-violent crime severity index,Percent,v87984884,0.0,2
2008,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Weighted clearance rate,Number,v53079525,38.96,2
2008,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Percent change in weighted clearance rate,Percent,v53079526,11.47,2
2008,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Violent weighted clearance rate,Number,v53079527,59.91,2
2008,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Percent change in violent weighted clearance rate,Percent,v53079528,10.8,2
2008,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Non-violent weighted clearance rate,Number,v53079529,30.26,2
2008,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Percent change in non-violent weighted clearance rate,Percent,v53079530,7.96,2
2008,"Ottawa-Gatineau, Ontario part",Crime severity index,Index,v44312563,68.29,2
2008,"Ottawa-Gatineau, Ontario part",Percent change in crime severity index,Percent,v44312564,-9.5,2
2008,"Ottawa-Gatineau, Ontario part",Violent crime severity index,Index,v44312565,72.93,2
2008,"Ottawa-Gatineau, Ontario part",Percent change in violent crime severity index,Percent,v44312566,-3.86,2
2008,"Ottawa-Gatineau, Ontario part",Non-violent crime severity index,Index,v44312567,66.5,2
2008,"Ottawa-Gatineau, Ontario part",Percent change in non-violent crime severity index,Percent,v44312568,-11.7,2
2008,"Ottawa-Gatineau, Ontario part",Youth crime severity index,Index,v53079540,0.0,2
2008,"Ottawa-Gatineau, Ontario part",Percent change in youth crime severity index,Percent,v87984885,0.0,2
2008,"Ottawa-Gatineau, Ontario part",Youth violent crime severity index,Index,v53079541,0.0,2
2008,"Ottawa-Gatineau, Ontario part",Percent change in youth violent crime severity index,Percent,v87984886,0.0,2
2008,"Ottawa-Gatineau, Ontario part",Youth non-violent crime severity index,Index,v53079533,0.0,2
2008,"Ottawa-Gatineau, Ontario part",Percent change in youth non-violent crime severity index,Percent,v87984887,0.0,2
2008,"Ottawa-Gatineau, Ontario part",Weighted clearance rate,Number,v53079534,38.21,2
2008,"Ottawa-Gatineau, Ontario part",Percent change in weighted clearance rate,Percent,v53079535,11.95,2
2008,"Ottawa-Gatineau, Ontario part",Violent weighted clearance rate,Number,v53079536,56.72,2
2008,"Ottawa-Gatineau, Ontario part",Percent change in violent weighted clearance rate,Percent,v53079537,10.74,2
2008,"Ottawa-Gatineau, Ontario part",Non-violent weighted clearance rate,Number,v53079538,30.4,2
2008,"Ottawa-Gatineau, Ontario part",Percent change in non-violent weighted clearance rate,Percent,v53079539,10.51,2
2008,"Kingston, Ontario",Crime severity index,Index,v44312617,67.83,2
2008,"Kingston, Ontario",Percent change in crime severity index,Percent,v44312618,-3.79,2
2008,"Kingston, Ontario",Violent crime severity index,Index,v44312619,60.46,2
2008,"Kingston, Ontario",Percent change in violent crime severity index,Percent,v44312620,-0.35,2
2008,"Kingston, Ontario",Non-violent crime severity index,Index,v44312621,70.66,2
2008,"Kingston, Ontario",Percent change in non-violent crime severity index,Percent,v44312622,-4.87,2
2008,"Kingston, Ontario",Youth crime severity index,Index,v53079633,0.0,2
2008,"Kingston, Ontario",Percent change in youth crime severity index,Percent,v87984888,0.0,2
2008,"Kingston, Ontario",Youth violent crime severity index,Index,v53079634,0.0,2
2008,"Kingston, Ontario",Percent change in youth violent crime severity index,Percent,v87984889,0.0,2
2008,"Kingston, Ontario",Youth non-violent crime severity index,Index,v53079626,0.0,2
2008,"Kingston, Ontario",Percent change in youth non-violent crime severity index,Percent,v87984890,0.0,2
2008,"Kingston, Ontario",Weighted clearance rate,Number,v53079627,45.17,2
2008,"Kingston, Ontario",Percent change in weighted clearance rate,Percent,v53079628,6.63,2
2008,"Kingston, Ontario",Violent weighted clearance rate,Number,v53079629,72.79,2
2008,"Kingston, Ontario",Percent change in violent weighted clearance rate,Percent,v53079630,-4.6,2
2008,"Kingston, Ontario",Non-violent weighted clearance rate,Number,v53079631,36.09,2
2008,"Kingston, Ontario",Percent change in non-violent weighted clearance rate,Percent,v53079632,13.85,2
2008,"Peterborough, Ontario",Crime severity index,Index,v52117752,66.93,2
2008,"Peterborough, Ontario",Percent change in crime severity index,Percent,v52117753,7.19,2
2008,"Peterborough, Ontario",Violent crime severity index,Index,v52117754,70.4,2
2008,"Peterborough, Ontario",Percent change in violent crime severity index,Percent,v52117755,11.46,2
2008,"Peterborough, Ontario",Non-violent crime severity index,Index,v52117756,65.6,2
2008,"Peterborough, Ontario",Percent change in non-violent crime severity index,Percent,v52117757,5.53,2
2008,"Peterborough, Ontario",Youth crime severity index,Index,v53079828,0.0,2
2008,"Peterborough, Ontario",Percent change in youth crime severity index,Percent,v87984891,0.0,2
2008,"Peterborough, Ontario",Youth violent crime severity index,Index,v53079829,0.0,2
2008,"Peterborough, Ontario",Percent change in youth violent crime severity index,Percent,v87984892,0.0,2
2008,"Peterborough, Ontario",Youth non-violent crime severity index,Index,v53079821,0.0,2
2008,"Peterborough, Ontario",Percent change in youth non-violent crime severity index,Percent,v87984893,0.0,2
2008,"Peterborough, Ontario",Weighted clearance rate,Number,v53079822,47.1,2
2008,"Peterborough, Ontario",Percent change in weighted clearance rate,Percent,v53079823,-2.89,2
2008,"Peterborough, Ontario",Violent weighted clearance rate,Number,v53079824,74.45,2
2008,"Peterborough, Ontario",Percent change in violent weighted clearance rate,Percent,v53079825,-3.7,2
2008,"Peterborough, Ontario",Non-violent weighted clearance rate,Number,v53079826,35.82,2
2008,"Peterborough, Ontario",Percent change in non-violent weighted clearance rate,Percent,v53079827,-3.81,2
2008,"Toronto, Ontario",Crime severity index,Index,v44312569,67.01,2
2008,"Toronto, Ontario",Percent change in crime severity index,Percent,v44312570,-5.27,2
2008,"Toronto, Ontario",Violent crime severity index,Index,v44312571,98.38,2
2008,"Toronto, Ontario",Percent change in violent crime severity index,Percent,v44312572,-4.83,2
2008,"Toronto, Ontario",Non-violent crime severity index,Index,v44312573,54.94,2
2008,"Toronto, Ontario",Percent change in non-violent crime severity index,Percent,v44312574,-5.59,2
2008,"Toronto, Ontario",Youth crime severity index,Index,v53079549,0.0,2
2008,"Toronto, Ontario",Percent change in youth crime severity index,Percent,v87984894,0.0,2
2008,"Toronto, Ontario",Youth violent crime severity index,Index,v53079550,0.0,2
2008,"Toronto, Ontario",Percent change in youth violent crime severity index,Percent,v87984895,0.0,2
2008,"Toronto, Ontario",Youth non-violent crime severity index,Index,v53079542,0.0,2
2008,"Toronto, Ontario",Percent change in youth non-violent crime severity index,Percent,v87984896,0.0,2
2008,"Toronto, Ontario",Weighted clearance rate,Number,v53079543,40.61,2
2008,"Toronto, Ontario",Percent change in weighted clearance rate,Percent,v53079544,-0.12,2
2008,"Toronto, Ontario",Violent weighted clearance rate,Number,v53079545,52.39,2
2008,"Toronto, Ontario",Percent change in violent weighted clearance rate,Percent,v53079546,-3.52,2
2008,"Toronto, Ontario",Non-violent weighted clearance rate,Number,v53079547,32.5,2
2008,"Toronto, Ontario",Percent change in non-violent weighted clearance rate,Percent,v53079548,3.7,2
2008,"Hamilton, Ontario",Crime severity index,Index,v44312575,77.75,2
2008,"Hamilton, Ontario",Percent change in crime severity index,Percent,v44312576,-8.09,2
2008,"Hamilton, Ontario",Violent crime severity index,Index,v44312577,88.72,2
2008,"Hamilton, Ontario",Percent change in violent crime severity index,Percent,v44312578,-9.99,2
2008,"Hamilton, Ontario",Non-violent crime severity index,Index,v44312579,73.53,2
2008,"Hamilton, Ontario",Percent change in non-violent crime severity index,Percent,v44312580,-7.18,2
2008,"Hamilton, Ontario",Youth crime severity index,Index,v53079570,0.0,2
2008,"Hamilton, Ontario",Percent change in youth crime severity index,Percent,v87984897,0.0,2
2008,"Hamilton, Ontario",Youth violent crime severity index,Index,v53079571,0.0,2
2008,"Hamilton, Ontario",Percent change in youth violent crime severity index,Percent,v87984898,0.0,2
2008,"Hamilton, Ontario",Youth non-violent crime severity index,Index,v53079563,0.0,2
2008,"Hamilton, Ontario",Percent change in youth non-violent crime severity index,Percent,v87984899,0.0,2
2008,"Hamilton, Ontario",Weighted clearance rate,Number,v53079564,35.79,2
2008,"Hamilton, Ontario",Percent change in weighted clearance rate,Percent,v53079565,6.68,2
2008,"Hamilton, Ontario",Violent weighted clearance rate,Number,v53079566,54.13,2
2008,"Hamilton, Ontario",Percent change in violent weighted clearance rate,Percent,v53079567,4.16,2
2008,"Hamilton, Ontario",Non-violent weighted clearance rate,Number,v53079568,27.28,2
2008,"Hamilton, Ontario",Percent change in non-violent weighted clearance rate,Percent,v53079569,10.27,2
2008,"St.Catharines-Niagara, Ontario",Crime severity index,Index,v44312581,80.35,2
2008,"St.Catharines-Niagara, Ontario",Percent change in crime severity index,Percent,v44312582,0.05,2
2008,"St.Catharines-Niagara, Ontario",Violent crime severity index,Index,v44312583,68.6,2
2008,"St.Catharines-Niagara, Ontario",Percent change in violent crime severity index,Percent,v44312584,5.67,2
2008,"St.Catharines-Niagara, Ontario",Non-violent crime severity index,Index,v44312585,84.86,2
2008,"St.Catharines-Niagara, Ontario",Percent change in non-violent crime severity index,Percent,v44312586,-1.59,2
2008,"St.Catharines-Niagara, Ontario",Youth crime severity index,Index,v53079579,0.0,2
2008,"St.Catharines-Niagara, Ontario",Percent change in youth crime severity index,Percent,v87984900,0.0,2
2008,"St.Catharines-Niagara, Ontario",Youth violent crime severity index,Index,v53079580,0.0,2
2008,"St.Catharines-Niagara, Ontario",Percent change in youth violent crime severity index,Percent,v87984901,0.0,2
2008,"St.Catharines-Niagara, Ontario",Youth non-violent crime severity index,Index,v53079572,0.0,2
2008,"St.Catharines-Niagara, Ontario",Percent change in youth non-violent crime severity index,Percent,v87984902,0.0,2
2008,"St.Catharines-Niagara, Ontario",Weighted clearance rate,Number,v53079573,32.14,2
2008,"St.Catharines-Niagara, Ontario",Percent change in weighted clearance rate,Percent,v53079574,0.94,2
2008,"St.Catharines-Niagara, Ontario",Violent weighted clearance rate,Number,v53079575,57.79,2
2008,"St.Catharines-Niagara, Ontario",Percent change in violent weighted clearance rate,Percent,v53079576,-0.21,2
2008,"St.Catharines-Niagara, Ontario",Non-violent weighted clearance rate,Number,v53079577,24.16,2
2008,"St.Catharines-Niagara, Ontario",Percent change in non-violent weighted clearance rate,Percent,v53079578,-0.54,2
2008,"Kitchener-Cambridge-Waterloo, Ontario",Crime severity index,Index,v44312587,69.24,2
2008,"Kitchener-Cambridge-Waterloo, Ontario",Percent change in crime severity index,Percent,v44312588,-3.12,2
2008,"Kitchener-Cambridge-Waterloo, Ontario",Violent crime severity index,Index,v44312589,61.18,2
2008,"Kitchener-Cambridge-Waterloo, Ontario",Percent change in violent crime severity index,Percent,v44312590,-8.81,2
2008,"Kitchener-Cambridge-Waterloo, Ontario",Non-violent crime severity index,Index,v44312591,72.33,2
2008,"Kitchener-Cambridge-Waterloo, Ontario",Percent change in non-violent crime severity index,Percent,v44312592,-1.12,2
2008,"Kitchener-Cambridge-Waterloo, Ontario",Youth crime severity index,Index,v53079588,0.0,2
2008,"Kitchener-Cambridge-Waterloo, Ontario",Percent change in youth crime severity index,Percent,v87984903,0.0,2
2008,"Kitchener-Cambridge-Waterloo, Ontario",Youth violent crime severity index,Index,v53079589,0.0,2
2008,"Kitchener-Cambridge-Waterloo, Ontario",Percent change in youth violent crime severity index,Percent,v87984904,0.0,2
2008,"Kitchener-Cambridge-Waterloo, Ontario",Youth non-violent crime severity index,Index,v53079581,0.0,2
2008,"Kitchener-Cambridge-Waterloo, Ontario",Percent change in youth non-violent crime severity index,Percent,v87984905,0.0,2
2008,"Kitchener-Cambridge-Waterloo, Ontario",Weighted clearance rate,Number,v53079582,43.73,2
2008,"Kitchener-Cambridge-Waterloo, Ontario",Percent change in weighted clearance rate,Percent,v53079583,-4.87,2
2008,"Kitchener-Cambridge-Waterloo, Ontario",Violent weighted clearance rate,Number,v53079584,69.25,2
2008,"Kitchener-Cambridge-Waterloo, Ontario",Percent change in violent weighted clearance rate,Percent,v53079585,3.84,2
2008,"Kitchener-Cambridge-Waterloo, Ontario",Non-violent weighted clearance rate,Number,v53079586,35.43,2
2008,"Kitchener-Cambridge-Waterloo, Ontario",Percent change in non-violent weighted clearance rate,Percent,v53079587,-8.35,2
2008,"Brantford, Ontario",Crime severity index,Index,v52117758,104.49,2
2008,"Brantford, Ontario",Percent change in crime severity index,Percent,v52117759,-5.92,2
2008,"Brantford, Ontario",Violent crime severity index,Index,v52117760,87.83,2
2008,"Brantford, Ontario",Percent change in violent crime severity index,Percent,v52117761,-10.94,2
2008,"Brantford, Ontario",Non-violent crime severity index,Index,v52117762,110.9,2
2008,"Brantford, Ontario",Percent change in non-violent crime severity index,Percent,v52117763,-4.26,2
2008,"Brantford, Ontario",Youth crime severity index,Index,v53079837,0.0,2
2008,"Brantford, Ontario",Percent change in youth crime severity index,Percent,v87984906,0.0,2
2008,"Brantford, Ontario",Youth violent crime severity index,Index,v53079838,0.0,2
2008,"Brantford, Ontario",Percent change in youth violent crime severity index,Percent,v87984907,0.0,2
2008,"Brantford, Ontario",Youth non-violent crime severity index,Index,v53079830,0.0,2
2008,"Brantford, Ontario",Percent change in youth non-violent crime severity index,Percent,v87984908,0.0,2
2008,"Brantford, Ontario",Weighted clearance rate,Number,v53079831,37.19,2
2008,"Brantford, Ontario",Percent change in weighted clearance rate,Percent,v53079832,0.35,2
2008,"Brantford, Ontario",Violent weighted clearance rate,Number,v53079833,68.14,2
2008,"Brantford, Ontario",Percent change in violent weighted clearance rate,Percent,v53079834,-2.03,2
2008,"Brantford, Ontario",Non-violent weighted clearance rate,Number,v53079835,27.77,2
2008,"Brantford, Ontario",Percent change in non-violent weighted clearance rate,Percent,v53079836,5.07,2
2008,"Guelph, Ontario",Crime severity index,Index,v52117764,57.66,2
2008,"Guelph, Ontario",Percent change in crime severity index,Percent,v52117765,-2.77,2
2008,"Guelph, Ontario",Violent crime severity index,Index,v52117766,42.27,2
2008,"Guelph, Ontario",Percent change in violent crime severity index,Percent,v52117767,-13.7,2
2008,"Guelph, Ontario",Non-violent crime severity index,Index,v52117768,63.57,2
2008,"Guelph, Ontario",Percent change in non-violent crime severity index,Percent,v52117769,0.47,2
2008,"Guelph, Ontario",Youth crime severity index,Index,v53079846,0.0,2
2008,"Guelph, Ontario",Percent change in youth crime severity index,Percent,v87984909,0.0,2
2008,"Guelph, Ontario",Youth violent crime severity index,Index,v53079847,0.0,2
2008,"Guelph, Ontario",Percent change in youth violent crime severity index,Percent,v87984910,0.0,2
2008,"Guelph, Ontario",Youth non-violent crime severity index,Index,v53079839,0.0,2
2008,"Guelph, Ontario",Percent change in youth non-violent crime severity index,Percent,v87984911,0.0,2
2008,"Guelph, Ontario",Weighted clearance rate,Number,v53079840,35.62,2
2008,"Guelph, Ontario",Percent change in weighted clearance rate,Percent,v53079841,-9.23,2
2008,"Guelph, Ontario",Violent weighted clearance rate,Number,v53079842,68.42,2
2008,"Guelph, Ontario",Percent change in violent weighted clearance rate,Percent,v53079843,-13.79,2
2008,"Guelph, Ontario",Non-violent weighted clearance rate,Number,v53079844,27.23,2
2008,"Guelph, Ontario",Percent change in non-violent weighted clearance rate,Percent,v53079845,-0.26,2
2008,"London, Ontario",Crime severity index,Index,v44312593,84.89,2
2008,"London, Ontario",Percent change in crime severity index,Percent,v44312594,-4.82,2
2008,"London, Ontario",Violent crime severity index,Index,v44312595,65.35,2
2008,"London, Ontario",Percent change in violent crime severity index,Percent,v44312596,-4.72,2
2008,"London, Ontario",Non-violent crime severity index,Index,v44312597,92.41,2
2008,"London, Ontario",Percent change in non-violent crime severity index,Percent,v44312598,-4.84,2
2008,"London, Ontario",Youth crime severity index,Index,v53079597,0.0,2
2008,"London, Ontario",Percent change in youth crime severity index,Percent,v87984912,0.0,2
2008,"London, Ontario",Youth violent crime severity index,Index,v53079598,0.0,2
2008,"London, Ontario",Percent change in youth violent crime severity index,Percent,v87984913,0.0,2
2008,"London, Ontario",Youth non-violent crime severity index,Index,v53079590,0.0,2
2008,"London, Ontario",Percent change in youth non-violent crime severity index,Percent,v87984914,0.0,2
2008,"London, Ontario",Weighted clearance rate,Number,v53079591,43.22,2
2008,"London, Ontario",Percent change in weighted clearance rate,Percent,v53079592,0.72,2
2008,"London, Ontario",Violent weighted clearance rate,Number,v53079593,69.91,2
2008,"London, Ontario",Percent change in violent weighted clearance rate,Percent,v53079594,-2.5,2
2008,"London, Ontario",Non-violent weighted clearance rate,Number,v53079595,35.96,2
2008,"London, Ontario",Percent change in non-violent weighted clearance rate,Percent,v53079596,2.48,2
2008,"Windsor, Ontario",Crime severity index,Index,v44312599,75.66,2
2008,"Windsor, Ontario",Percent change in crime severity index,Percent,v44312600,-7.95,2
2008,"Windsor, Ontario",Violent crime severity index,Index,v44312601,77.5,2
2008,"Windsor, Ontario",Percent change in violent crime severity index,Percent,v44312602,15.0,2
2008,"Windsor, Ontario",Non-violent crime severity index,Index,v44312603,74.96,2
2008,"Windsor, Ontario",Percent change in non-violent crime severity index,Percent,v44312604,-14.7,2
2008,"Windsor, Ontario",Youth crime severity index,Index,v53079606,0.0,2
2008,"Windsor, Ontario",Percent change in youth crime severity index,Percent,v87984915,0.0,2
2008,"Windsor, Ontario",Youth violent crime severity index,Index,v53079607,0.0,2
2008,"Windsor, Ontario",Percent change in youth violent crime severity index,Percent,v87984916,0.0,2
2008,"Windsor, Ontario",Youth non-violent crime severity index,Index,v53079599,0.0,2
2008,"Windsor, Ontario",Percent change in youth non-violent crime severity index,Percent,v87984917,0.0,2
2008,"Windsor, Ontario",Weighted clearance rate,Number,v53079600,45.02,2
2008,"Windsor, Ontario",Percent change in weighted clearance rate,Percent,v53079601,17.15,2
2008,"Windsor, Ontario",Violent weighted clearance rate,Number,v53079602,68.19,2
2008,"Windsor, Ontario",Percent change in violent weighted clearance rate,Percent,v53079603,-6.65,2
2008,"Windsor, Ontario",Non-violent weighted clearance rate,Number,v53079604,35.82,2
2008,"Windsor, Ontario",Percent change in non-violent weighted clearance rate,Percent,v53079605,26.93,2
2008,"Barrie, Ontario",Crime severity index,Index,v52117770,63.36,2
2008,"Barrie, Ontario",Percent change in crime severity index,Percent,v52117771,-6.23,2
2008,"Barrie, Ontario",Violent crime severity index,Index,v52117772,52.44,2
2008,"Barrie, Ontario",Percent change in violent crime severity index,Percent,v52117773,-11.4,2
2008,"Barrie, Ontario",Non-violent crime severity index,Index,v52117774,67.55,2
2008,"Barrie, Ontario",Percent change in non-violent crime severity index,Percent,v52117775,-4.58,2
2008,"Barrie, Ontario",Youth crime severity index,Index,v53079855,0.0,2
2008,"Barrie, Ontario",Percent change in youth crime severity index,Percent,v87984918,0.0,2
2008,"Barrie, Ontario",Youth violent crime severity index,Index,v53079856,0.0,2
2008,"Barrie, Ontario",Percent change in youth violent crime severity index,Percent,v87984919,0.0,2
2008,"Barrie, Ontario",Youth non-violent crime severity index,Index,v53079848,0.0,2
2008,"Barrie, Ontario",Percent change in youth non-violent crime severity index,Percent,v87984920,0.0,2
2008,"Barrie, Ontario",Weighted clearance rate,Number,v53079849,40.54,2
2008,"Barrie, Ontario",Percent change in weighted clearance rate,Percent,v53079850,0.95,2
2008,"Barrie, Ontario",Violent weighted clearance rate,Number,v53079851,72.26,2
2008,"Barrie, Ontario",Percent change in violent weighted clearance rate,Percent,v53079852,11.19,2
2008,"Barrie, Ontario",Non-violent weighted clearance rate,Number,v53079853,31.08,2
2008,"Barrie, Ontario",Percent change in non-violent weighted clearance rate,Percent,v53079854,-3.42,2
2008,"Greater Sudbury, Ontario",Crime severity index,Index,v44312605,73.34,2
2008,"Greater Sudbury, Ontario",Percent change in crime severity index,Percent,v44312606,-7.13,2
2008,"Greater Sudbury, Ontario",Violent crime severity index,Index,v44312607,75.12,2
2008,"Greater Sudbury, Ontario",Percent change in violent crime severity index,Percent,v44312608,-17.79,2
2008,"Greater Sudbury, Ontario",Non-violent crime severity index,Index,v44312609,72.65,2
2008,"Greater Sudbury, Ontario",Percent change in non-violent crime severity index,Percent,v44312610,-2.09,2
2008,"Greater Sudbury, Ontario",Youth crime severity index,Index,v53079615,0.0,2
2008,"Greater Sudbury, Ontario",Percent change in youth crime severity index,Percent,v87984921,0.0,2
2008,"Greater Sudbury, Ontario",Youth violent crime severity index,Index,v53079616,0.0,2
2008,"Greater Sudbury, Ontario",Percent change in youth violent crime severity index,Percent,v87984922,0.0,2
2008,"Greater Sudbury, Ontario",Youth non-violent crime severity index,Index,v53079608,0.0,2
2008,"Greater Sudbury, Ontario",Percent change in youth non-violent crime severity index,Percent,v87984923,0.0,2
2008,"Greater Sudbury, Ontario",Weighted clearance rate,Number,v53079609,44.8,2
2008,"Greater Sudbury, Ontario",Percent change in weighted clearance rate,Percent,v53079610,-2.99,2
2008,"Greater Sudbury, Ontario",Violent weighted clearance rate,Number,v53079611,70.35,2
2008,"Greater Sudbury, Ontario",Percent change in violent weighted clearance rate,Percent,v53079612,-1.58,2
2008,"Greater Sudbury, Ontario",Non-violent weighted clearance rate,Number,v53079613,34.64,2
2008,"Greater Sudbury, Ontario",Percent change in non-violent weighted clearance rate,Percent,v53079614,1.29,2
2008,"Thunder Bay, Ontario",Crime severity index,Index,v44312611,106.87,2
2008,"Thunder Bay, Ontario",Percent change in crime severity index,Percent,v44312612,-3.2,2
2008,"Thunder Bay, Ontario",Violent crime severity index,Index,v44312613,116.74,2
2008,"Thunder Bay, Ontario",Percent change in violent crime severity index,Percent,v44312614,-10.51,2
2008,"Thunder Bay, Ontario",Non-violent crime severity index,Index,v44312615,103.08,2
2008,"Thunder Bay, Ontario",Percent change in non-violent crime severity index,Percent,v44312616,0.37,2
2008,"Thunder Bay, Ontario",Youth crime severity index,Index,v53079624,0.0,2
2008,"Thunder Bay, Ontario",Percent change in youth crime severity index,Percent,v87984924,0.0,2
2008,"Thunder Bay, Ontario",Youth violent crime severity index,Index,v53079625,0.0,2
2008,"Thunder Bay, Ontario",Percent change in youth violent crime severity index,Percent,v87984925,0.0,2
2008,"Thunder Bay, Ontario",Youth non-violent crime severity index,Index,v53079617,0.0,2
2008,"Thunder Bay, Ontario",Percent change in youth non-violent crime severity index,Percent,v87984926,0.0,2
2008,"Thunder Bay, Ontario",Weighted clearance rate,Number,v53079618,38.79,2
2008,"Thunder Bay, Ontario",Percent change in weighted clearance rate,Percent,v53079619,-7.51,2
2008,"Thunder Bay, Ontario",Violent weighted clearance rate,Number,v53079620,57.92,2
2008,"Thunder Bay, Ontario",Percent change in violent weighted clearance rate,Percent,v53079621,-9.67,2
2008,"Thunder Bay, Ontario",Non-violent weighted clearance rate,Number,v53079622,30.46,2
2008,"Thunder Bay, Ontario",Percent change in non-violent weighted clearance rate,Percent,v53079623,-2.09,2
2008,Manitoba,Crime severity index,Index,v44312623,129.88,2
2008,Manitoba,Percent change in crime severity index,Percent,v44312624,-13.84,2
2008,Manitoba,Violent crime severity index,Index,v44312625,160.1,2
2008,Manitoba,Percent change in violent crime severity index,Percent,v44312626,-8.41,2
2008,Manitoba,Non-violent crime severity index,Index,v44312627,118.26,2
2008,Manitoba,Percent change in non-violent crime severity index,Percent,v44312628,-16.42,2
2008,Manitoba,Youth crime severity index,Index,v53079644,179.71,2
2008,Manitoba,Percent change in youth crime severity index,Percent,v53079645,-14.43,2
2008,Manitoba,Youth violent crime severity index,Index,v53079646,196.43,2
2008,Manitoba,Percent change in youth violent crime severity index,Percent,v53079927,-21.53,2
2008,Manitoba,Youth non-violent crime severity index,Index,v53079636,166.98,2
2008,Manitoba,Percent change in youth non-violent crime severity index,Percent,v53079637,-6.89,2
2008,Manitoba,Weighted clearance rate,Number,v53079638,41.3,2
2008,Manitoba,Percent change in weighted clearance rate,Percent,v53079639,10.58,2
2008,Manitoba,Violent weighted clearance rate,Number,v53079640,62.75,2
2008,Manitoba,Percent change in violent weighted clearance rate,Percent,v53079641,2.35,2
2008,Manitoba,Non-violent weighted clearance rate,Number,v53079642,30.14,2
2008,Manitoba,Percent change in non-violent weighted clearance rate,Percent,v53079643,16.06,2
2008,"Winnipeg, Manitoba",Crime severity index,Index,v44312629,125.82,2
2008,"Winnipeg, Manitoba",Percent change in crime severity index,Percent,v44312630,-16.53,2
2008,"Winnipeg, Manitoba",Violent crime severity index,Index,v44312631,164.92,2
2008,"Winnipeg, Manitoba",Percent change in violent crime severity index,Percent,v44312632,-8.96,2
2008,"Winnipeg, Manitoba",Non-violent crime severity index,Index,v44312633,110.79,2
2008,"Winnipeg, Manitoba",Percent change in non-violent crime severity index,Percent,v44312634,-20.32,2
2008,"Winnipeg, Manitoba",Youth crime severity index,Index,v53079654,0.0,2
2008,"Winnipeg, Manitoba",Percent change in youth crime severity index,Percent,v87984927,0.0,2
2008,"Winnipeg, Manitoba",Youth violent crime severity index,Index,v53079655,0.0,2
2008,"Winnipeg, Manitoba",Percent change in youth violent crime severity index,Percent,v87984928,0.0,2
2008,"Winnipeg, Manitoba",Youth non-violent crime severity index,Index,v53079647,0.0,2
2008,"Winnipeg, Manitoba",Percent change in youth non-violent crime severity index,Percent,v87984929,0.0,2
2008,"Winnipeg, Manitoba",Weighted clearance rate,Number,v53079648,31.01,2
2008,"Winnipeg, Manitoba",Percent change in weighted clearance rate,Percent,v53079649,11.11,2
2008,"Winnipeg, Manitoba",Violent weighted clearance rate,Number,v53079650,50.25,2
2008,"Winnipeg, Manitoba",Percent change in violent weighted clearance rate,Percent,v53079651,0.32,2
2008,"Winnipeg, Manitoba",Non-violent weighted clearance rate,Number,v53079652,20.0,2
2008,"Winnipeg, Manitoba",Percent change in non-violent weighted clearance rate,Percent,v53079653,19.05,2
2008,Saskatchewan,Crime severity index,Index,v44312635,152.54,2
2008,Saskatchewan,Percent change in crime severity index,Percent,v44312636,-7.38,2
2008,Saskatchewan,Violent crime severity index,Index,v44312637,152.95,2
2008,Saskatchewan,Percent change in violent crime severity index,Percent,v44312638,-10.23,2
2008,Saskatchewan,Non-violent crime severity index,Index,v44312639,152.39,2
2008,Saskatchewan,Percent change in non-violent crime severity index,Percent,v44312640,-6.23,2
2008,Saskatchewan,Youth crime severity index,Index,v53079674,258.53,2
2008,Saskatchewan,Percent change in youth crime severity index,Percent,v53079675,-13.8,2
2008,Saskatchewan,Youth violent crime severity index,Index,v53079676,200.15,2
2008,Saskatchewan,Percent change in youth violent crime severity index,Percent,v53079945,-25.5,2
2008,Saskatchewan,Youth non-violent crime severity index,Index,v53079666,303.0,2
2008,Saskatchewan,Percent change in youth non-violent crime severity index,Percent,v53079667,-6.4,2
2008,Saskatchewan,Weighted clearance rate,Number,v53079668,49.86,2
2008,Saskatchewan,Percent change in weighted clearance rate,Percent,v53079669,5.75,2
2008,Saskatchewan,Violent weighted clearance rate,Number,v53079670,65.67,2
2008,Saskatchewan,Percent change in violent weighted clearance rate,Percent,v53079671,1.92,2
2008,Saskatchewan,Non-violent weighted clearance rate,Number,v53079672,43.76,2
